	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
7642	3	5763700	Route 12 - Midtown Station	1	315941	103143
7642	3	5782369	Route 12 - Midtown Station	1	316955	103143
7642	3	5776033	Route 12 - Midtown Station	1	315940	103143
7642	3	5793606	Route 12 - Midtown Station	1	315941	103143
7642	3	5782370	Route 12 - Midtown Station	1	315941	103143
7642	3	5761694	Route 12 - Midtown Station	1	315941	103143
7642	3	5776030	Route 12 - Midtown Station	1	315940	103143
7642	3	5758154	Route 12 - Midtown Station	1	315941	103143
7642	3	5776035	Route 12 - Midtown Station	1	315940	103143
7642	3	5788591	Route 12 - Midtown Station	1	316696	103143
7642	3	5769502	Route 12 - Midtown Station	1	316696	103143
7642	3	5782371	Route 12 - Midtown Station	1	316955	103143
7642	3	5761693	Route 12 - Midtown Station	1	316955	103143
7642	3	5763702	Route 12 - Midtown Station	1	315941	103143
7642	3	5761692	Route 12 - Midtown Station	1	315941	103143
7642	3	5761695	Route 12 - Midtown Station	1	316696	103143
7642	3	5763701	Route 12 - Midtown Station	1	316696	103143
7642	3	5788598	Route 12 - Midtown Station	1	316955	103143
7642	3	5776029	Route 12 - Midtown Station	1	315941	103143
7642	3	5796054	Route 12 - Midtown Station	1	316696	103143
7642	3	5795845	Route 12 - Midtown Station	1	315940	103143
7642	3	5763698	Route 12 - Midtown Station	1	316696	103143
7642	3	5778230	Route 12 - Midtown Station	1	316696	103143
7642	3	5769501	Route 12 - Midtown Station	1	316955	103143
7642	3	5776034	Route 12 - Midtown Station	1	316955	103143
7642	3	5761690	Route 12 - Midtown Station	1	315940	103143
7642	3	5753751	Route 12 - Midtown Station	1	316955	103143
7642	3	5778231	Route 12 - Midtown Station	1	316696	103143
7642	3	5758153	Route 12 - Midtown Station	1	316696	103143
7642	3	5761691	Route 12 - Midtown Station	1	316955	103143
7642	3	5792534	Route 12 - Midtown Station	1	316955	103143
7642	3	5758156	Route 12 - Midtown Station	1	316955	103143
7642	3	5763699	Route 12 - Midtown Station	1	315940	103143
7642	3	5758155	Route 12 - Midtown Station	1	315940	103143
7642	3	5776031	Route 12 - Midtown Station	1	315941	103143
7642	3	5792713	Route 12 - Midtown Station	1	316696	103143
7642	3	5778232	Route 12 - Midtown Station	1	315940	103143
7642	3	5776032	Route 12 - Midtown Station	1	315940	103143
7642	4	5762310	Route 12 - Midtown Station	1	316698	103143
7642	4	5796056	Route 12 - Midtown Station	1	316697	103143
7642	4	5772076	Route 12 - Midtown Station	1	316698	103143
7642	4	5785563	Route 12 - Midtown Station	1	316956	103143
7642	4	5795322	Route 12 - Midtown Station	1	316697	103143
7642	4	5765376	Route 12 - Midtown Station	1	315688	103143
7642	4	5758535	Route 12 - Midtown Station	1	316697	103143
7642	4	5765374	Route 12 - Midtown Station	1	316697	103143
7642	4	5785560	Route 12 - Midtown Station	1	316697	103143
7642	4	5796055	Route 12 - Midtown Station	1	315688	103143
7642	4	5791910	Route 12 - Midtown Station	1	315688	103143
7642	4	5772074	Route 12 - Midtown Station	1	316698	103143
7642	4	5792712	Route 12 - Midtown Station	1	316956	103143
7642	4	5754628	Route 12 - Midtown Station	1	315688	103143
7642	4	5754625	Route 12 - Midtown Station	1	316698	103143
7642	4	5774488	Route 12 - Midtown Station	1	316697	103143
7642	4	5788526	Route 12 - Midtown Station	1	316956	103143
7642	4	5785564	Route 12 - Midtown Station	1	316956	103143
7642	4	5754627	Route 12 - Midtown Station	1	316956	103143
7642	4	5758534	Route 12 - Midtown Station	1	315688	103143
7642	4	5787733	Route 12 - Midtown Station	1	316698	103143
7642	4	5795321	Route 12 - Midtown Station	1	316698	103143
7642	4	5774489	Route 12 - Midtown Station	1	316956	103143
7642	4	5758536	Route 12 - Midtown Station	1	315688	103143
7642	4	5793610	Route 12 - Midtown Station	1	315688	103143
7642	4	5785561	Route 12 - Midtown Station	1	316698	103143
7642	4	5774490	Route 12 - Midtown Station	1	316698	103143
7642	4	5762309	Route 12 - Midtown Station	1	316956	103143
7642	4	5754626	Route 12 - Midtown Station	1	316956	103143
7642	4	5779893	Route 12 - Midtown Station	1	315688	103143
7642	4	5762308	Route 12 - Midtown Station	1	316956	103143
7642	4	5765373	Route 12 - Midtown Station	1	316698	103143
7642	4	5772075	Route 12 - Midtown Station	1	316697	103143
7642	4	5774487	Route 12 - Midtown Station	1	316956	103143
7642	4	5772072	Route 12 - Midtown Station	1	315688	103143
7642	4	5772073	Route 12 - Midtown Station	1	316697	103143
7642	4	5785562	Route 12 - Midtown Station	1	316697	103143
7642	4	5765375	Route 12 - Midtown Station	1	316697	103143
7642	5	5777689	Route 12 - Midtown Station	1	317469	103143
7642	5	5763261	Route 12 - Midtown Station	1	315687	103143
7642	5	5784077	Route 12 - Midtown Station	1	316202	103143
7642	5	5784080	Route 12 - Midtown Station	1	317469	103143
7642	5	5763259	Route 12 - Midtown Station	1	317469	103143
7642	5	5777690	Route 12 - Midtown Station	1	315686	103143
7642	5	5766769	Route 12 - Midtown Station	1	315686	103143
7642	5	5778028	Route 12 - Midtown Station	1	316202	103143
